                                                            REPORTE DE LIBROS
====================================================================================================
   CODIGO        NOMBRE DEL LIBRO                                                              AUTOR                    STOCK        PRECIO
====================================================================================================
IIM5175        Jose Maria Arguedas                                                   Diamantes y pedernales                                                  0          30.23

YDK7687       Gabriel Garcia Marquez                                                El otonio del patriarca                                                60          82.02

ZOY6470       Hernest Hemingway                                                     El viejo y el mar                                                      25          68.01

ETZ8565       Yukio Mishima                                                         Confesiones de una mascara                                             27         175.68

LQL0880       Umberto Eco                                                           Contra el fascismo                                                     34          71.63

VFZ9435       Javier Traite                                                         El olor de la Edad Media                                               49          96.28

SFZ1256       Homero                                                                La Iliada                                                              34         154.35

EDQ0577       Carlo Collodi                                                         Las aventuras de Pinocho                                               27          31.54

YJI3961       Gabriel Garcia Marquez                                                Cien anios de soledad                                                  45          99.35

VPN5351       Ana Maria Moix                                                        El Amante                                                              27         182.76

PVS2464       Yuval Noah Harari                                                     Sapiens                                                                18         148.82

DVL7760       Arturo Perez-Reverte                                                  Falco                                                                  57          98.18

QRH6838       C. S. Lewis                                                           Las cronicas de Narnia                                                 43         162.37

LDL2628       J.K. Rowling                                                          Harry Potter y el caliz de fuego (Harry Potter 4)                       3         140.97

SBU9053       Alfredo Gonzalez Ruibal                                               Tierra arrasada                                                        34          53.71

ZJM1292       Mario Vargas Llosa                                                    El suenio del celta                                                    52          66.03

CRA4157       Mark Twain                                                            El forastero misterioso                                                39         234.14

RII8346       Alejandro Dumas                                                       Las dos Dianas                                                         23          69.63

JBR9372       Arturo Perez-Reverte                                                  El maestro de esgrima                                                  60           1.94

NEO9165       Mary Beard                                                            Emperador de Roma                                                      65         234.34

TBZ2657       Robert Louis Stevenson                                                Olalla                                                                  5          42.95

IBP7411       Ken Follett                                                           Nunca                                                                  40          68.15

GPH1575       Javier Negrete                                                        La gran aventura de los griegos                                         3          11.18

XIU2628       Arturo Perez-Reverte                                                  Cabo Trafalgar                                                         21          34.25

DDT0017       Louis Ferdinand Celine                                                Viaje al fin de la noche                                               38         125.28

ILG7766       Homero                                                                Iliada                                                                  7         296.63

HGQ0131       Homero                                                                Odisea                                                                 22          62.13

HLB4548       Mary W. Shelley                                                       Frankenstein o el moderno Prometeo                                     18         118.29

SQB7146       Gabriel Garcia Marquez                                                Cronica de una muerte anunciada                                        31          83.99

VHK9148       Isaac Asimov                                                          Historia y cronologia del mundo                                        63          14.07

MVU0233       Dan Brown                                                             La conspiracioni                                                       60         192.02

KWL0415       Roberto Villa Garcia                                                  1923                                                                   24          78.57

WPU8819       Laurence Sterne                                                       Tristam Shandy                                                         47          59.08

JTX5687       Julio Verne                                                           Veinte mil leguas de viaje submarino                                   29          72.66

HCT8192       Ana FranK                                                             Diario                                                                 63          99.10

OMN0252       Fiodor Dostoyevski                                                    Los hermanos Karamazov                                                 42         241.73

CKC4095       F. Scott Fitzgerald                                                   El Gran Gatsby                                                         26          32.40

JLQ6546       J.R.R.Tolkien                                                         El retorno del Rey                                                     37          48.76

MSW8176       Chinua Achebe                                                         Todo se desmorona                                                      23          37.03

TDY0497       Paula Hawkins                                                         La chica del tren                                                      40          62.79

NBL8415       Daniel Aquillue                                                       Espania con honra                                                      50         252.00

IMC3155       Ken Follett                                                           Los pilares de la tierra                                               35         182.44

FWK6327       Fiodor Dostoyevski                                                    El doble                                                               24         109.19

GQC1814       Umberto Eco                                                           Apocalipticos e integrados                                             26           1.08

PRD1648       Gabriel Garcia Marquez                                                Relato de un naufrago                                                  10          71.86

SBF7018       Rudyard Kipling                                                       El handicap de la vida                                                  2          71.69

LVP3355       Arthur Conan Doyle                                                    Las aventuras de Sherlock Holmes                                       35          50.40

FBO8724       Umberto Eco                                                           El pendulo de Foucault                                                 64         104.07

WCZ0845       Umberto Eco                                                           El cementerio de Praga                                                  5         154.00

WOF6634       Arturo Perez-Reverte                                                  El problema final                                                      64         174.46

CUV7849       Jorge Luis Borges                                                     Ficciones                                                              50         255.52

VMW6915       Mario Vargas Llosa                                                    Travesuras de la ninia mala                                            12         292.26

MBQ9495       George R.R.Martin                                                     Tormenta de espadas                                                    27         202.58

LQA8555       Gustavo Adolfo Becquer                                                Rimas y leyendas                                                       14         248.74

IMK4892       Arturo Perez-Reverte                                                  La tabla de Flandes                                                    21         272.34

QCA9584       Robert Louis Stevenson                                                Dr. Jekyll y Mr. Hyde                                                  27         168.95

XJT3661       Mark Twain                                                            Las aventuras de Tom Sawye                                             65          36.07

THT4126       J. K. Rowling                                                         Harry Potter y las reliquias de la muerte (Harry Potter 7)             15         195.13

PZP7176       Ken Follett                                                           La caida de los gigantes                                               28          15.93

UQL8643       Bram Stoker                                                           Dracula                                                                23          15.12

RLQ7170       Arturo Perez-Reverte                                                  El tango de la guardia vieja                                           65         114.29

KTA8754       James Joyce                                                           Ulises                                                                 22          37.22

TOJ1764       Jose Saramago                                                         Ensayo sobre la ceguera                                                40         154.27

GWE4133       Edgar Allan Poe                                                       El gato negro y otros cuentos                                          64         298.03

ZPD6557       William Faulkner                                                      El ruido y la furia                                                    10         267.59

IUG2294       Franz Kafka                                                           El proceso                                                             17         129.10

WGA2754       Arturo Perez-Reverte                                                  El club Dumas                                                           8         124.58

YJE2497       John Bunyan                                                           Progreso del peregrino                                                 65          88.79

XCC4070       Arturo Perez-Reverte                                                  El italiano                                                            16         111.54

